Id. de la fila,Id. del pedido,Fecha del pedido,Fecha de envío,Fecha de facturacion,Año,Forma de envío,Id. del cliente,Nombre del cliente,Segmento,Ciudad,Estado,País,Región,Id. del producto,Categoría,Subcategoría,Nombre del producto,Venta,Cantidad,Descuento,Ganancia
1682,MX-2018-111899,2/4/2018,6/4/2018,13/4/2018,2018,Estándar,AM-11365,Araceli Manzanares,Empresa,Cruzeiro do Sul,Acre,Brasil,Sur,MAT-AR-10004857,Material de oficina,Arte,Boston Rotuladores  Tamaños variados,591,3,0%,206
5919,MX-2018-113922,8/10/2018,11/10/2018,18/10/2018,2018,Rápido,BS-12130,Benjamín Saavedra,Cliente,Rio Branco,Acre,Brasil,Sur,MOB-LI-10000647,Mobiliario,Librerías,Dania Conjunto de estantes  Metal,2.250,2,0%,923
5920,MX-2018-113922,8/10/2018,11/10/2018,18/10/2018,2018,Rápido,BS-12130,Benjamín Saavedra,Cliente,Rio Branco,Acre,Brasil,Sur,MAT-CA-10002956,Material de oficina,Carpetas,Avery Anillas  Transparente,129,5,0%,11
9013,MX-2016-163888,14/6/2016,18/6/2016,25/6/2016,2016,Estándar,AT-10090,Alejandro Trejo,Cliente,Rio Branco,Acre,Brasil,Sur,MOB-MO-10002100,Mobiliario,Mobiliario,Tenex Bandeja apiladora  Negro,505,3,0%,95
9014,MX-2016-163888,14/6/2016,18/6/2016,25/6/2016,2016,Estándar,AT-10090,Alejandro Trejo,Cliente,Rio Branco,Acre,Brasil,Sur,MOB-LI-10002747,Mobiliario,Librerías,Safco Vitrina  Convencional,3.377,3,0%,641
9406,MX-2015-109029,20/7/2015,22/7/2015,29/7/2015,2015,Urgente,AJ-10840,Amador Jasón,Cliente,Cruzeiro do Sul,Acre,Brasil,Sur,MAT-CA-10003527,Material de oficina,Carpetas,Avery Cubierta de carpeta  Duradero,168,2,0%,62
603,MX-2018-103002,16/5/2018,18/5/2018,25/5/2018,2018,Urgente,LG-17920,Leonor Gómez,Cliente,Penedo,Alagoas,Brasil,Sur,MAT-AL-10002433,Material de oficina,Almacenamiento,Fellowes Archivador móvil  Industrial,1.837,2,0%,753
809,MX-2017-133459,5/9/2017,9/9/2017,16/9/2017,2017,Estándar,CV-12475,Cristina Vergara,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-SO-10003712,Material de oficina,Sobres,Cameo Sobre de tipo Manila  50,540,3,0%,38
3315,MX-2015-141726,11/11/2015,16/11/2015,23/11/2015,2015,Rápido,EC-14410,Eusebio Cano,Pequeña empresa,Maceió,Alagoas,Brasil,Sur,MOB-SI-10000143,Mobiliario,Sillas,Harbour Creations Silla plegable  Negro,3.182,5,0%,159
3474,MX-2017-130911,5/10/2017,7/10/2017,14/10/2017,2017,Rápido,HS-15655,Héctor Salcido,Empresa,Arapiraca,Alagoas,Brasil,Sur,MOB-SI-10004179,Mobiliario,Sillas,Office Star Silla de playa  Negro,707,2,0%,42
3499,MX-2017-166443,21/8/2017,25/8/2017,1/9/2017,2017,Estándar,WV-21820,Wendi Valdés,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-PA-10000990,Material de oficina,Papel,Green Bar Cuaderno  Multicolor,1.248,6,0%,262
3500,MX-2017-166443,21/8/2017,25/8/2017,1/9/2017,2017,Estándar,WV-21820,Wendi Valdés,Cliente,Maceió,Alagoas,Brasil,Sur,TEC-MÁ-10004980,Tecnología,Máquinas,Panasonic Impresora  Rojo,7.030,4,0%,3515
3501,MX-2017-166443,21/8/2017,25/8/2017,1/9/2017,2017,Estándar,WV-21820,Wendi Valdés,Cliente,Maceió,Alagoas,Brasil,Sur,MOB-SI-10004179,Mobiliario,Sillas,Office Star Silla de playa  Negro,1.060,3,0%,64
4101,MX-2016-113201,14/9/2016,18/9/2016,25/9/2016,2016,Estándar,IC-16405,Iris Casares,Pequeña empresa,Arapiraca,Alagoas,Brasil,Sur,MAT-SU-10003821,Material de oficina,Suministros,Acme Regla  Azul,334,3,0%,40
4102,MX-2016-113201,14/9/2016,18/9/2016,25/9/2016,2016,Estándar,IC-16405,Iris Casares,Pequeña empresa,Arapiraca,Alagoas,Brasil,Sur,MAT-CA-10000917,Material de oficina,Carpetas,Avery Separadores  Económico,127,3,0%,7
4103,MX-2016-113201,14/9/2016,18/9/2016,25/9/2016,2016,Estándar,IC-16405,Iris Casares,Pequeña empresa,Arapiraca,Alagoas,Brasil,Sur,MAT-AL-10003968,Material de oficina,Almacenamiento,Rogers Bandejas  Tamaño completo,823,2,0%,164
5321,MX-2016-117870,4/10/2016,9/10/2016,16/10/2016,2016,Estándar,TA-21175,Teodora Atencio,Empresa,Penedo,Alagoas,Brasil,Sur,MAT-CA-10002885,Material de oficina,Carpetas,Cardinal Cubierta de carpeta  Económico,160,2,0%,26
6481,MX-2018-148684,19/12/2018,25/12/2018,1/1/2019,2019,Estándar,AR-10525,Amalia Ríos,Empresa,Maceió,Alagoas,Brasil,Sur,MAT-AL-10004135,Material de oficina,Almacenamiento,Tenex Archivador móvil  Tamaño completo,2.683,3,0%,885
6482,MX-2018-148684,19/12/2018,25/12/2018,1/1/2019,2019,Estándar,AR-10525,Amalia Ríos,Empresa,Maceió,Alagoas,Brasil,Sur,MAT-SO-10001206,Material de oficina,Sobres,Cameo Sobre empresarial  Reciclado,105,1,0%,50
8062,MX-2018-113586,18/11/2018,18/11/2018,25/11/2018,2018,Mismo día,FF-14890,Fidel Ferrer,Empresa,Maceió,Alagoas,Brasil,Sur,MAT-SO-10000209,Material de oficina,Sobres,GlobeWeis Paquetes  50,514,2,0%,134
8063,MX-2018-113586,18/11/2018,18/11/2018,25/11/2018,2018,Mismo día,FF-14890,Fidel Ferrer,Empresa,Maceió,Alagoas,Brasil,Sur,MOB-LI-10000384,Mobiliario,Librerías,Dania Librería clásica  Blanco,5.510,2,0%,992
8064,MX-2018-113586,18/11/2018,18/11/2018,25/11/2018,2018,Mismo día,FF-14890,Fidel Ferrer,Empresa,Maceió,Alagoas,Brasil,Sur,MOB-MO-10000586,Mobiliario,Mobiliario,Eldon Tope para puertas  Negro,2.006,6,0%,622
